CVE_ID,EPSS_Score,EPSS_Percentile
CVE-2022-22123,0.00708,0.50935
CVE-2022-22113,0.01024,0.6113
CVE-2022-22112,0.00616,0.47067
CVE-2022-21970,0.02543,0.83854
CVE-2022-21969,0.01117,0.63779
CVE-2022-21676,0.0276,0.85221
CVE-2022-21675,0.02544,0.83866
CVE-2022-21646,0.01278,0.6794
CVE-2022-20621,0.00319,0.24255
CVE-2022-20620,0.00748,0.52357
CVE-2022-20619,0.00655,0.48846
CVE-2022-20618,0.00852,0.55674
CVE-2022-20617,0.02277,0.81882
CVE-2022-20616,0.00852,0.55674
CVE-2022-20615,0.81842,0.99622
CVE-2022-20614,0.0111,0.63592
CVE-2022-20613,0.00957,0.58976
CVE-2022-20612,0.01779,0.76648
CVE-2022-0198,0.00739,0.52022
CVE-2022-0197,0.0081,0.54365
CVE-2022-0196,0.00736,0.51927
CVE-2022-0179,0.00639,0.48127
CVE-2022-0159,0.00634,0.47928
CVE-2022-0087,0.02601,0.84241
CVE-2022-0015,0.00229,0.13525
CVE-2022-0014,0.0025,0.16238
CVE-2022-0013,0.0022,0.12319
CVE-2022-0012,0.00243,0.15364
CVE-2021-46283,0.00316,0.24008
CVE-2021-46225,0.00982,0.59822
CVE-2021-45806,0.01355,0.69649
CVE-2021-45449,0.00428,0.35716
CVE-2021-45445,0.0097,0.5943
CVE-2021-45411,0.03865,0.89429
CVE-2021-44652,0.02565,0.83999
CVE-2021-44651,0.05263,0.91967
CVE-2021-44650,0.04794,0.91302
CVE-2021-44649,0.00617,0.47146
CVE-2021-44648,0.01891,0.78091
CVE-2021-43999,0.01784,0.76715
CVE-2021-43960,0.00592,0.45939
CVE-2021-43860,0.01346,0.69433
CVE-2021-43436,0.00593,0.45976
CVE-2021-42562,0.0119,0.65734
CVE-2021-42561,0.19572,0.97187
CVE-2021-42560,0.02148,0.80812
CVE-2021-42559,0.01957,0.78852
CVE-2021-42558,0.01052,0.61943
CVE-2021-41767,0.01933,0.78584
CVE-2021-41597,0.01033,0.61407
CVE-2021-4080,0.01474,0.71973
CVE-2021-40566,0.00827,0.54919
CVE-2021-40565,0.00847,0.55522
CVE-2021-40564,0.00847,0.55523
CVE-2021-40563,0.00847,0.55523
CVE-2021-40562,0.00847,0.55522
CVE-2021-40559,0.00748,0.52353
CVE-2021-40327,0.01194,0.6584
CVE-2021-3852,0.00808,0.54308
CVE-2021-37530,0.00748,0.5235
CVE-2021-37529,0.00748,0.5235
CVE-2021-36417,0.01127,0.64016
CVE-2021-35500,0.00556,0.44129
CVE-2021-30353,0.00568,0.44773
CVE-2021-30330,0.00568,0.44774
CVE-2021-30319,0.00155,0.04957
CVE-2021-30314,0.00145,0.04063
CVE-2021-30313,0.00101,0.0099
CVE-2021-30311,0.00157,0.05161
CVE-2021-30308,0.00157,0.05161
CVE-2021-30307,0.00568,0.44774
CVE-2021-30301,0.00568,0.44774
CVE-2021-30300,0.00568,0.44773
CVE-2021-30287,0.00568,0.44775
CVE-2021-30285,0.00147,0.04276
CVE-2021-28377,0.08389,0.9457
CVE-2021-28376,0.01083,0.62824
CVE-2021-23824,0.00921,0.57811
CVE-2021-23514,0.01589,0.73881
CVE-2022-22991,0.01333,0.6912
CVE-2022-22990,0.02124,0.80589
CVE-2022-22989,0.0131,0.68628
CVE-2022-22988,0.00714,0.51165
